Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Normalna,Rozszerzone pory,Podrażnienie,0,22,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Rozszerzone pory,Przebarwienia,0,22,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF54,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",BIELENDA Blue Matcha krem-żel,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Widoczne naczynka,Brak,0,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,SVR Sebiaclear Creme SPF 50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Widoczne naczynka,Brak,0,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Nadprodukcja sebum,Szara cera,0,28,Miya myBEUTYgel Pielęgnujący Żel do Mycia i Oczyszczania,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Yope Moon SPA krem do twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,FACEBOOM Seboom peeling kwasowy wygładzający
Sucha,Nadprodukcja sebum,Suche skórki,1,22,Vianek Nawilżająca Emulsja Myjąca do Twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Niedoskonałości,Brak,0,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Podrażnienie,1,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Widoczne naczynka,Podrażnienie,0,23,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Niedoskonałości,Szara cera,1,16,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Nanili Professional T-Cream (Aktywny krem naprawczy),Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Miya myBEUTYpeeling Peeling Enzymatyczny
Sucha,Widoczne naczynka,Brak,1,24,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Uriage Roseliane SPF30 krem do cery naczynkowej,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HelloBody Aloe Light nawilżający krem do twarzy,Naklejki na krostki z Selfie Project,Mediheal NMF Aquaring Ampoule Mask EX,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Niedoskonałości,Szara cera,1,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Faceboom Korygująco-rozjaśniające Serum Do Twarzy,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Skin79 Waterproof Sun Gel Krem ochronny SPF50,HELLO BODY Coco Dream Regenerujące serum,Bandi - Delicate Care - Kojący Krem Matujący,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Niedoskonałości,Suche skórki,1,30,FLUFF Superfood nawilżająca emulsja do mycia twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Niedoskonałości,1,29,ONLYBIO Face in Balance Pianka do twarzy adaptogenna enzymatyczna,Basiclab serum antyoksydacyjne witamina C 15%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Acnederm,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,brak
Normalna,Nadprodukcja sebum,Suche skórki,1,31,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Sudocrem,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Przebarwienia,Przebarwienia,1,20,Żel Tołpa Dermo Face Physio,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Nivea Soft Krem Intensywnie Nawilżający,Uriage Roseliane SPF30 krem do cery naczynkowej,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Acnederm,Maska Glinkowa Ziaja,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Rozszerzone pory,Brak,0,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Widoczne naczynka,Brak,0,22,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Niedoskonałości,Szara cera,0,21,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,HelloBody Aloe Light nawilżający krem do twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Mieszana,Niedoskonałości,Podrażnienie,1,22,FLUFF Superfood myjący mus do twarzy,The Ordinary Hyaluronic Acid 2% + B5,CETAPHIL MD DERMOPROTEKTOR,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Normalna,Podrażnienie,Brak,1,19,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Nacomi Next Lvl Serum z Witaminą C 15%,CETAPHIL MD DERMOPROTEKTOR,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,The Ordinary - Salicylic Acid 2% Masque - Maska Glinkowo-Węglowa z 2% Kwasem Salicylowym,Brak
Mieszana,Podrażnienie,Brak,0,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Podrażnienie,Nadprodukcja sebum,0,26,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
Mieszana,Rozszerzone pory,Brak,0,16,BIELENDA CBD Cannabidiol,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Szara cera,Nadprodukcja sebum,1,23,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Nacomi Next Level krem do twarzy SPF50 city formula,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Podrażnienie,Widoczne naczynka,1,25,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,MIYA Serum z witaminą C na przebarwienia,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Widoczne naczynka,Brak,1,21,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Normalna,Szara cera,Podrażnienie,0,18,BIELENDA CBD Cannabidiol,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Przebarwienia,Brak,0,17,BIELENDA CBD Cannabidiol,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HelloBody Aloe Light nawilżający krem do twarzy,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Widoczne naczynka,Brak,0,23,Żel Tołpa Dermo Face Physio,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Brak
Mieszana,Nadprodukcja sebum,Przebarwienia,1,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Normalna,Widoczne naczynka,Brak,0,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Niedoskonałości,Podrażnienie,1,19,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF54,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maska Glinkowa Ziaja,Brak
Tłusta,Niedoskonałości,Przebarwienia,1,20,FaceBoom Oczyszczająca pianka do mycia twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Brak 
Mieszana,Niedoskonałości,Przebarwienia,1,20,Żel Tołpa Dermo Face Physio,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Widoczne naczynka,Suche skórki,1,26,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Lvl Serum z Witaminą C 15%,Sensibio AR Bioderma,Garnier Ambre Solaire SPF 50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Podrażnienie,Suche skórki,1,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,Nacomi Next Level niacinamide 15%,Nanili Professional T-Cream (Aktywny krem naprawczy),Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Rozszerzone pory,Brak,1,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Widoczne naczynka,Podrażnienie,0,27,FLUFF Superfood nawilżająca emulsja do mycia twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Widoczne naczynka,Brak,1,19,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Hydraliane,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Brak,0,17,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,La Roche-Posay Anthelios XL SPF50+,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Podrażnienie,1,23,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Rozszerzone pory,Niedoskonałości,0,19,CeraVe Wygładzający Żel do Mycia,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CETAPHIL MD DERMOPROTEKTOR,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak
Normalna,Widoczne naczynka,Brak,0,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Nadprodukcja sebum,Suche skórki,0,23,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Hellobody - cararise ,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Naklejki na krostki z Selfie Project,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Nadprodukcja sebum,Podrażnienie,0,26,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Sucha,Szara cera,Nadprodukcja sebum,1,21,Żel Tołpa Dermo Face Physio,Nacomi Next Level Serum Ceramidy 5%,Bielenda Rose Care Nawilżający krem różany do cery wrażliwej,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Podrażnienie,Brak,0,17,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,MIYA Serum z witaminą C na przebarwienia,FLUFF Superfood mleko do twarzy Liczi,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
