ID,Typ cery,Wra¿liwa,G³ówny problem,Poboczny problem,Wiek,Mycie,Serum na dzieñ,Krem na dzieñ,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
46,T³usta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
47,T³usta,0,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Brak,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
48,Sucha,1,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
49,Normalna,0,Szara cera,Brak,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
50,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,MIYA Serum z witamin¹ C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
51,Sucha,1,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
52,Normalna,1,Niedoskona³oœci,Brak,21,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Brak
53,Sucha,1,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
54,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
55,T³usta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
56,T³usta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
57,T³usta,0,Podra¿nienie,Brak,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
58,T³usta,1,Niedoskona³oœci,Podra¿nienie,17,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin
59,Sucha,1,Przebarwienia,Podra¿nienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
60,Normalna,0,Przebarwienia,Podra¿nienie,17,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,TO£PA DERMO FACE SEBIO peeling 3 enzymy
61,Sucha,1,Przebarwienia,Podra¿nienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
62,Normalna,0,Przebarwienia,Brak,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
63,T³usta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
64,T³usta,0,Rozszerzone pory,Przebarwienia,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,To³pa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
65,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
66,Normalna,0,Szara cera,Brak,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
67,Sucha,0,Szara cera,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,MIYA Serum z witamin¹ C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
68,Sucha,0,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Sensifine AR,Brak,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
69,Normalna,0,Niedoskona³oœci,Brak,21,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Brak
70,Sucha,0,Widoczne naczynka,Brak,22,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Sensifine AR,Maœæ z witamin¹ A,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
71,Normalna,0,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
72,T³usta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
73,T³usta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
74,T³usta,0,Nadprodukcja sebum,Niedoskona³oœci,22,CeraVe Wyg³adzaj¹cy ¯el do Mycia,Revox Just Niacinamide 10%,To³pa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Professional SupremeLAB Microbiome Ratunkowa Maseczka,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
75,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,CeraVe Wyg³adzaj¹cy ¯el do Mycia,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
76,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
77,T³usta,1,Niedoskona³oœci,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
78,Mieszana,1,Niedoskona³oœci,Podra¿nienie,17,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
79,T³usta,1,Niedoskona³oœci,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,To³pa - Dermo Face Strefa T - Matuj¹cy Krem-¯el Nawil¿aj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
80,Mieszana,1,Niedoskona³oœci,Podra¿nienie,21,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
81,Normalna,1,Podra¿nienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
82,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
83,Mieszana,0,Podra¿nienie,Brak,20,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
84,Normalna,0,Podra¿nienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
85,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
86,Mieszana,0,Podra¿nienie,Brak,24,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
87,T³usta,1,Przebarwienia,Niedoskona³oœci,17,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
88,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
89,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
