Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,1,Niedoskonałości,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,0,Podrażnienie,Brak,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,1,Niedoskonałości,Podrażnienie,17,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin
Sucha,1,Przebarwienia,Podrażnienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Przebarwienia,Podrażnienie,17,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,1,Przebarwienia,Podrażnienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Przebarwienia,Brak,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,0,Rozszerzone pory,Przebarwienia,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Tołpa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi - Delicate Care - Kojący Krem Matujący,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,0,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,0,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Sensifine AR,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Niedoskonałości,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Sucha,0,Widoczne naczynka,Brak,22,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sensifine AR,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,0,Nadprodukcja sebum,Niedoskonałości,22,CeraVe Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,Tołpa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Professional SupremeLAB Microbiome Ratunkowa Maseczka,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,1,Niedoskonałości,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,1,Niedoskonałości,Podrażnienie,17,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Tłusta,1,Niedoskonałości,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,1,Niedoskonałości,Podrażnienie,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Normalna,1,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,0,Podrażnienie,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,1,Przebarwienia,Niedoskonałości,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Przebarwienia,Brak,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
Tłusta,1,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,1,Rozszerzone pory,Przebarwienia,19,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Tołpa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,1,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,1,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CETAPHIL MD DERMOPROTEKTOR,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,1,Widoczne naczynka,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
